"iteration","term","estimate","std_error"
30,"lag11",1.41770743724578,0.533674467011607
30,"lag12",1.63998277485841,0.528407418664608
31,"lag1",4.75452240327172,0.520154274134708
31,"lag2",0.749009414521231,0.632082021487176
31,"lag3",1.86044404386633,0.611907710038775
31,"lag4",-1.3723283900636,0.547844894383898
31,"lag5",1.24605393622333,0.522358233858478
31,"lag6",6.73880105746285,0.514346334609553
31,"lag7",6.23775806883656,0.531293207599785
31,"lag8",1.52511373550029,0.656025444698698
31,"lag9",0.363175896588784,0.632243397328843
31,"lag10",-0.629147661837185,0.557472622297305
31,"lag11",0.595846825409567,0.52616453205826
31,"lag12",0.422333779121414,0.517692855998122
32,"lag1",5.40090190647735,0.569951752254263
32,"lag2",0.138065138406938,0.693165205078256
32,"lag3",2.81683884708096,0.682684065071887
32,"lag4",-0.104305189519071,0.619137588307321
32,"lag5",2.2378204712363,0.556793198034866
32,"lag6",8.01288465768789,0.550252450949891
32,"lag7",7.6727767688668,0.582352557726309
32,"lag8",-2.43097055599834,0.705395651109702
32,"lag9",1.08542054229116,0.693273397388006
32,"lag10",1.87379986724001,0.623435831520554
32,"lag11",1.66507439089109,0.558953673259655
32,"lag12",0.633261321772131,0.553858769033037
33,"lag1",8.72877417534384,0.533840689240307
33,"lag2",2.44141992847274,0.665265904352763
33,"lag3",3.85001646843216,0.659609477325322
33,"lag4",1.29808698040172,0.596005293884821
33,"lag5",0.29880270357651,0.523256443209087
33,"lag6",0.17575766414988,0.511942999624853
33,"lag7",-0.710378108556022,0.550777422234895
33,"lag8",1.72182885905102,0.675113627941096
33,"lag9",1.15751073801291,0.673381185663865
33,"lag10",-0.733070524393373,0.599354509584467
33,"lag11",-0.572852442580417,0.525678527571398
33,"lag12",0.155133487087048,0.511552437828056
34,"lag1",7.37329042135665,0.537129311857652
34,"lag2",-1.10526751891925,0.626677255926651
34,"lag3",3.74206660760716,0.644503238342667
34,"lag4",0.309678730682109,0.588694837371389
34,"lag5",0.584243992035744,0.535641679852229
34,"lag6",3.90389243646601,0.526036340128139
34,"lag7",4.02027929295501,0.554153719458487
34,"lag8",1.28178778319605,0.646721599785478
34,"lag9",1.66692447433685,0.668495553183541
34,"lag10",1.72207128300977,0.598082542573924
34,"lag11",1.03469166960739,0.534075917128563
34,"lag12",0.992955733638407,0.53016500614575
35,"lag1",8.84962830532379,0.671093651736383
35,"lag2",2.93029435084336,0.850730495352669
35,"lag3",4.02552501829131,0.784146340400101
35,"lag4",-0.179883504351862,0.677337622697984
35,"lag5",1.99618497242166,0.646545517550702
35,"lag6",6.96783062103021,0.624872769750846
35,"lag7",9.28970023047015,0.68926246064951
35,"lag8",1.59993077777738,0.868682921979189
35,"lag9",0.743909732930752,0.799978656331248
35,"lag10",1.14192586401046,0.687668258659898
35,"lag11",-0.164124179867837,0.645858270308735
35,"lag12",-0.4995925418555,0.631414863069007
36,"lag1",6.69501677722085,0.565933257590813
36,"lag2",3.79602951256053,0.677591387973707
36,"lag3",5.93452911072964,0.676731301785047
36,"lag4",2.35782246431962,0.615888655789042
36,"lag5",2.94711556317574,0.557497400625719
36,"lag6",4.69411696167627,0.540616460956055
36,"lag7",2.29950366591679,0.577240594836084
36,"lag8",2.37990744890943,0.690643813805281
36,"lag9",3.87894678717521,0.691349710493769
36,"lag10",2.12168668327308,0.62213141315055
36,"lag11",0.426757819513475,0.56014138976892
36,"lag12",-0.684288954678783,0.544757108799739
37,"lag1",7.48759733591326,0.555462498137895
37,"lag2",1.76788646789704,0.664469780811899
37,"lag3",3.82827126121246,0.686590059503825
37,"lag4",0.453596252336477,0.609090813840729
37,"lag5",1.97279872751322,0.54512558409238
37,"lag6",1.95874162371225,0.538725164981226
37,"lag7",1.65597720902495,0.568913422731704
37,"lag8",1.89907066373148,0.682201251956621
37,"lag9",-0.676072917192458,0.69614502129355
37,"lag10",-0.48488512327157,0.613192286179662
37,"lag11",0.217756496328891,0.545130466666172
